Image Name,Length (cm),Number of Branches
63.jpg,[16.13274336283186],[5]
77.jpg,[16.913793103448278],[5]
88.jpg,"[2.4311926605504586, 10.899082568807339]","[2, 5]"
100-1.jpg,[],[]
89.jpg,[8.05511811023622],[3]
62.jpg,[11.909090909090908],[4]
74.jpg,[11.38655462184874],[5]
60.jpg,[15.335877862595419],[4]
61.jpg,[10.408],[6]
75.jpg,[13.169491525423728],[2]
59.jpg,"[16.78181818181818, 13.209090909090909, 18.80909090909091]","[6, 6, 4]"
71.jpg,"[17.166666666666668, 12.736842105263158]","[4, 7]"
65.jpg,"[23.30188679245283, 19.27358490566038]","[5, 6]"
90-4.jpg,"[6.722222222222222, 2.492063492063492]","[4, 0]"
56-2.jpg,[12.77310924369748],[3]
70.jpg,[1.4794188861985471],[3]
58.jpg,"[12.623931623931623, 12.35897435897436, 2.427350427350427]","[4, 5, 0]"
8.jpg,[36.16867469879518],[5]
66.jpg,[4.082949308755761],[5]
72.jpg,"[19.215827338129497, 13.820143884892087]","[4, 4]"
33-4.jpg,"[19.59349593495935, 2.4715447154471546]","[5, 2]"
98.jpg,[14.529411764705882],[4]
73.jpg,[1.665966386554622],[6]
67.jpg,"[13.883928571428571, 9.5625, 4.973214285714286, 12.705357142857142]","[4, 3, 4, 4]"
9.jpg,[25.238095238095237],[4]
14.jpg,[22.8125],[3]
28.jpg,"[2.4622641509433962, 28.18867924528302]","[1, 3]"
32-3.jpg,[14.014388489208633],[4]
8-3.jpg,[41.32],[4]
100.jpg,"[8.392857142857142, 6.875, 11.5]","[5, 4, 3]"
29.jpg,"[1355.0, 148.0]","[3, 0]"
15.jpg,"[14.977272727272727, 19.803030303030305]","[3, 4]"
17.jpg,"[35.74666666666667, 38.89333333333333]","[4, 4]"
30-2.jpg,[],[]
57-5.jpg,"[12.792, 3.008]","[7, -1]"
29-2.jpg,"[23.693693693693692, 2.4144144144144146]","[5, 0]"
16.jpg,[39.54761904761905],[5]
53-4.jpg,[562.5],[5]
93-4.jpg,[2.4796747967479673],[1]
32-2-5.jpg,"[20.69465648854962, 13.938931297709924]","[7, 5]"
77-4.jpg,[1.5719298245614035],[4]
13.jpg,[33.08888888888889],[4]
39.jpg,[31.0],[4]
11.jpg,"[513.0, 459.5]","[4, 4]"
73-2.jpg,[15.07563025210084],[5]
71-1.jpg,[14.317073170731707],[4]
10.jpg,[26.46078431372549],[5]
38.jpg,[],[]
21.jpg,"[43.01298701298701, 34.4025974025974]","[5, 5]"
35.jpg,"[2.4452554744525545, 4.978102189781022]","[2, 5]"
6-5.jpg,[],[]
20.jpg,"[2.3583333333333334, 18.833333333333332]","[2, 5]"
36.jpg,"[35.175824175824175, 28.36263736263736]","[4, 3]"
22.jpg,[4.2407407407407405],[2]
40-2.jpg,"[12.975409836065573, 13.049180327868852]","[5, 6]"
95-1-4-5.jpg,"[22.103448275862068, 21.563218390804597, 22.7816091954023]","[3, 3, 4]"
2-3.jpg,[47.36619718309859],[7]
4-4.jpg,[28.485714285714284],[6]
23.jpg,[2.5370843989769822],[4]
37.jpg,[13.941176470588236],[5]
27.jpg,"[24.97029702970297, 24.89108910891089]","[5, 5]"
6-2.jpg,[27.68867924528302],[4]
60-2.jpg,[15.455357142857142],[3]
79-2.jpg,"[15.563636363636364, 2.418181818181818, 15.254545454545454]","[3, 0, 6]"
6-3.jpg,[23.566037735849058],[6]
26.jpg,"[21.521367521367523, 18.39316239316239]","[6, 2]"
32.jpg,"[5.368794326241135, 3.75177304964539]","[4, 2]"
18.jpg,"[35.32941176470588, 37.51764705882353]","[6, 6]"
24.jpg,[16.1],[4]
30.jpg,[19.95575221238938],[5]
59-5.jpg,[20.1],[4]
61 (2).jpg,"[12.047244094488189, 16.77952755905512]","[6, 4]"
71 (2).jpg,[14.83941605839416],[7]
79-1.jpg,[11.392523364485982],[5]
31.jpg,"[21.420454545454547, 30.875]","[5, 4]"
25.jpg,"[12.96551724137931, 11.21551724137931]","[5, 4]"
19.jpg,"[16.77777777777778, 22.38888888888889, 16.787037037037038]","[5, 3, 4]"
4.jpg,[22.194244604316548],[5]
81.jpg,[10.784615384615385],[5]
95.jpg,[2.7527173913043477],[4]
94.jpg,[18.823529411764707],[5]
80.jpg,"[11.91150442477876, 11.610619469026549, 11.327433628318584, 11.929203539823009]","[5, 6, 5, 4]"
5.jpg,[42.44303797468354],[7]
57.jpg,"[9.121951219512194, 15.08130081300813]","[7, 4]"
43.jpg,"[21.484848484848484, 19.444444444444443]","[6, 7]"
7.jpg,"[26.962025316455698, 24.455696202531644, 25.79746835443038, 23.556962025316455, 21.40506329113924]","[4, 4, 4, 2, 4]"
41.jpg,[14.568807339449542],[6]
69.jpg,[13.471428571428572],[7]
39-1.jpg,[31.928571428571427],[5]
82.jpg,[4.195652173913044],[5]
67-3.jpg,[15.488888888888889],[7]
87 (2).jpg,"[18.545454545454547, 17.606060606060606]","[3, 4]"
83.jpg,[738.0],[3]
97.jpg,[3.8518518518518516],[8]
40.jpg,[],[]
54.jpg,"[7.617886178861789, 9.926829268292684, 2.430894308943089]","[2, 2, 1]"
78.jpg,"[12.880733944954128, 12.458715596330276]","[5, 6]"
2.jpg,[35.41573033707865],[8]
62 (2).jpg,"[11.415254237288135, 5.805084745762712]","[3, 0]"
44.jpg,"[19.728813559322035, 20.296610169491526, 19.822033898305083]","[3, 5, 4]"
93.jpg,[],[]
87.jpg,"[6.522058823529412, 2.8970588235294117]","[3, 3]"
63-3.jpg,[13.621212121212121],[5]
58-5.jpg,[12.765217391304347],[4]
20-5.jpg,[4.947368421052632],[0]
85-1.jpg,[13.714285714285714],[6]
86.jpg,"[25.945454545454545, 26.78181818181818]","[4, 5]"
92.jpg,[18.133928571428573],[5]
3-4.jpg,[45.22222222222222],[5]
45.jpg,[33.22826086956522],[5]
3.jpg,[40.8974358974359],[6]
51.jpg,"[32.4639175257732, 28.855670103092784]","[4, 5]"
79.jpg,[14.345588235294118],[6]
47.jpg,"[14.41, 17.59, 20.69, 15.71]","[6, 4, 5, 4]"
1.jpg,"[17.33884297520661, 19.09917355371901]","[4, 4]"
61-2.jpg,[12.041322314049587],[4]
84.jpg,"[2.403361344537815, 10.445378151260504]","[0, 4]"
90.jpg,[6.546296296296297],[5]
26 (2).jpg,"[19.5609756097561, 20.739837398373982]","[3, 3]"
83-4.jpg,[30.25],[5]
91.jpg,[14.427586206896551],[5]
24-3.jpg,[18.322314049586776],[3]
52.jpg,[42.721518987341774],[7]
46.jpg,"[26.01492537313433, 38.343283582089555, 50.52238805970149, 17.059701492537314]","[6, 3, 4, 3]"
